Method,1MB,10MB,100MB,1000MB
AES-128 CBC,0.0026636000256985426,0.02410569996573031,0.2204209000337869,2.2587059000506997
AES-192 CBC,0.003290100023150444,0.030242100125178695,0.24207060015760362,2.3871792999561876
AES-256 CBC,0.00274710007943213,0.0257772000040859,0.2626256998628378,2.433673999970779
AES-128 ECB,0.0011354999151080847,0.009857899975031614,0.06139359995722771,0.6187229999341071
AES-192 ECB,0.0008389002177864313,0.007709800032898784,0.06077280011959374,0.6934873000718653
AES-256 ECB,0.000996599905192852,0.007535299984738231,0.06098850001581013,0.6776316999457777
