Method,1MB,10MB,100MB,1000MB
CBC-128 with ECC,0.04787135124206543,0.024722814559936523,0.22811317443847656,2.535954713821411
CBC-192 with ECC,0.004023551940917969,0.023300647735595703,0.23286819458007812,2.3581788539886475
CBC-256 with ECC,0.003033161163330078,0.0243227481842041,0.22153878211975098,2.3178412914276123
