Method,1MB,10MB,100MB,1000MB
AES-128 CBC,380.0591837608112,428.76218599863466,461.6951252297049,406.5516206955722
AES-192 CBC,362.8527379292201,422.4496023309175,440.74706418058304,431.8882123546399
AES-256 CBC,352.3939314215012,397.3506095806083,413.96518736195105,416.8690036249412
AES-128 ECB,1055.0577685066194,1228.4474068636475,1691.2498686736326,1509.2397315894439
AES-192 ECB,1045.5763572528124,1314.4975955108546,1680.4706260217658,1541.8413634278488
AES-256 ECB,1090.503905648577,1353.4848067138423,1665.7377163785538,1598.1984213518867
