Method,1MB,10MB,100MB,1000MB
AES-128 CBC,388.14574556878995,410.58307291482777,452.8148460390903,409.5232614925518
AES-192 CBC,356.0897049799646,414.01992547930877,432.83133094549703,429.17177096537034
AES-256 CBC,368.4778315832561,399.9810638660264,414.6208308463136,421.93681218673026
AES-128 ECB,1079.242142138111,1255.9445778007623,1651.0490097786308,1537.7387513372075
AES-192 ECB,1067.8880329005274,1322.0089552404381,1660.1313888848908,1587.2256558140675
AES-256 ECB,1017.2134067276344,1355.7147980652849,1638.5458324913075,1614.2857549631503
