Method,1MB,10MB,100MB,1000MB
RC4-128-bit,344.3858125686943,356.039499350137,366.2269824683802,350.0216033313694
RC4-192-bit,339.06724817155543,352.6693386904394,363.5533915693239,358.4605515005142
RC4-256-bit,343.5275442802303,353.624836714813,364.4956711343387,361.41935800121814
ChaCha20-256-bit,353.52793001124496,352.2527559897853,363.5551630640881,339.21074568172565
