Method,1MB,10MB,100MB,1000MB
RC4-128-bit,335.38656105422893,358.05294724334794,369.6891520673631,366.0885098647918
RC4-192-bit,327.5449017532821,355.74765240834506,367.5490577988834,369.6176428789329
RC4-256-bit,344.9890231946264,362.2764283483514,368.1096816202416,368.5146240042209
ChaCha20-256-bit,355.4105424364785,359.9928482907486,369.76893444075705,364.7664217886026

