Method,1MB,10MB,100MB,1000MB
AES-128 CBC,0.0028666998259723186,0.023733099922537804,0.216560099972412,2.500796299893409
AES-192 CBC,0.0026057001668959856,0.02379839983768761,0.24138969997875392,2.4728097999468446
AES-256 CBC,0.002829300006851554,0.025748500134795904,0.23636949993669987,2.4733332998584956
AES-128 ECB,0.0010297999251633883,0.009018400218337774,0.06107569998130202,0.6633933000266552
AES-192 ECB,0.000777300214394927,0.007726000156253576,0.06476170010864735,0.6047068000771105
AES-256 ECB,0.0009228000417351723,0.009003999875858426,0.05978809995576739,0.6247924000490457
