Method,1MB,10MB,100MB,1000MB
RC4-128,0.0031787999905645847,0.0283114998601377,0.27226570015773177,2.969463000074029
RC4-192,0.0031712001655250788,0.028300599893555045,0.27654859982430935,2.8778842999599874
RC4-256,0.0033531999215483665,0.02880840003490448,0.27485789987258613,2.8449761997908354
ChaCha20-256,0.0028059999458491802,0.027562799863517284,0.2858848001342267,3.0499610998667777
